symbol,1.0.0,1.2.0,1.3.0,1.4.0
_ZN14SceneObjHolder10newEachObjEi,0x00180D54,0x00181384,0x00180DE4,0x00181A14
_ZNK14SceneObjHolder6getObjEi,0x0018215C,0x0018278C,0x001821EC,0x00182E1C
_ZN2MR14createSceneObjEi,0x00182170,0x001827A0,0x00182200,0x00182E30
_ZN9GameSceneC1Ev,0x00183568,0x00183BF8,0x00183658,0x00184288
_ZN9GameSceneD1Ev,0x00183690,0x00183D20,0x00183780,0x001843B0
_ZN9GameScene4initEv,0x001836C0,0x00183D50,0x001837B0,0x001843E0
_ZN14GameScenePatch4initEv,0x001836C0,0x00183D50,0x001837B0,0x001843E0
_ZN5SceneC1EPKc,0x00184A54,0x00185114,0x00184B74,0x001857A4
_ZN5SceneD1Ev,0x00184ADC,0x0018519C,0x00184BFC,0x0018582C
_ZN5Scene4initEv,0x00184B00,0x001851C0,0x00184C20,0x00185850
_ZN5Scene5startEv,0x00184B04,0x001851C4,0x00184C24,0x00185854
_ZN5Scene6updateEv,0x00184B08,0x001851C8,0x00184C28,0x00185858
_ZNK5Scene4drawEv,0x00184B0C,0x001851CC,0x00184C2C,0x0018585C
_ZN5Scene8calcAnimEv,0x00184B10,0x001851D0,0x00184C30,0x00185860
_ZN5Scene23initNameObjListExecutorEv,0x00184B14,0x001851D4,0x00184C34,0x00185864
_ZN5Scene18initSceneObjHolderEv,0x00184B5C,0x0018521C,0x00184C7C,0x001858AC
_ZN10MarioActorC1EPKc,0x001E8834,0x001E94F4,0x001E9044,0x001E9D64
_ZN15MarioActorPatch21MarioActorConstructorEv,0x001E8834,0x001E94F4,0x001E9044,0x001E9D64
_ZN10MarioActor20takenDamageBehaviourEv,0x001ED330,0x001EDFE0,0x001EDB30,0x001EE878
_ZN15MarioActorPatch20takenDamageBehaviourEv,0x001ED330,0x001EDFE0,0x001EDB30,0x001EE878
_ZN10MarioActor7incLifeEj,0x001ED42C,0x001EE0DC,0x001EDC2C,0x001EE974
_ZN15MarioActorPatch7incLifeEv,0x001ED42C,0x001EE0DC,0x001EDC2C,0x001EE974
_ZN10MarioActor19LifeRelatedFunctionEv,0x001FA7F0,0x001FB4C0,0x001FB040,0x001FBDC0
_ZN15MarioActorPatch19LifeRelatedFunctionEv,0x001FA7F0,0x001FB4C0,0x001FB040,0x001FBDC0
_ZN11LayoutActorC1EPKcb,0x002535C0,0x00254370,0x00254090,0x00254E40
_ZN11LayoutActorC2EPKcb,0x002535C0,0x00254370,0x00254090,0x00254E40
_ZN11LayoutActor8movementEv,0x00253604,0x002543B4,0x002540D4,0x00254E84
_ZNK11LayoutActor16getLayoutManagerEv,0x00253680,0x00254430,0x00254150,0x00254F00
_ZN11LayoutActor8calcAnimEv,0x00253688,0x00254438,0x00254158,0x00254F08
_ZNK11LayoutActor4drawEv,0x002536BC,0x0025446C,0x0025418C,0x00254F3C
_ZN11LayoutActor6appearEv,0x002536F0,0x002544A0,0x002541C0,0x00254F70
_ZN11LayoutActor4killEv,0x00253700,0x002544B0,0x002541D0,0x00254F80
_ZNK11LayoutActor8setNerveEPK5Nerve,0x00253730,0x002544E0,0x00254200,0x00254FB0
_ZNK11LayoutActor7isNerveEPK5Nerve,0x00253738,0x002544E8,0x00254208,0x00254FB8
_ZNK11LayoutActor12getNerveStepEv,0x00253764,0x00254514,0x00254234,0x00254FE4
_ZNK11LayoutActor8getTransEv,0x00253770,0x00254520,0x00254240,0x00254FF0
_ZN11LayoutActor8setTransENRK9JGeometry5TVec2IfEE,0x002537A8,0x00254558,0x00254278,0x00255028
_ZN11LayoutActor16createPaneMtxRefEPKc,0x002537E4,0x00254594,0x002542B4,0x00255064
_ZN11LayoutActor13getPaneMtxRefEPKc,0x002537EC,0x0025459C,0x002542BC,0x0025506C
_ZN11LayoutActor17initLayoutManagerEPKcj,0x002537F4,0x002545A4,0x002542C4,0x00255074
_ZN11LayoutActor34initLayoutManagerNoConvertFilenameEPKcj,0x00253844,0x002545F4,0x00254314,0x002550C4
_ZN11LayoutActor17initLayoutManagerEPKcjj,0x00253894,0x00254644,0x00254364,0x00255114
_ZN11LayoutActor9initNerveEPK5Nerve,0x002538F0,0x002546A0,0x002543C0,0x00255170
_ZN11LayoutActor16initEffectKeeperEiPKcPK12EffectSystem,0x00253938,0x002546E8,0x00254408,0x002551B8
_ZN11LayoutActor18initPointingTargetEi,0x002539A0,0x00254750,0x00254470,0x00255220
_ZN11LayoutActorD1Ev,0x00253A44,0x002547F4,0x00254514,0x002552C4
_ZN11LayoutActor7controlEv,0x00253A68,0x00254818,0x00254538,0x002552E8
_ZN15LayoutActorFlagC1Ev,0x00253A6C,0x0025481C,0x0025453C,0x002552EC
_ZN17StarPointerTargetC1EfNPK9JGeometry5TVec3IfEEPA4_fN9JGeometry5TVec3IfEE,0x0025A510,0x0025B2C0,0x0025AFE0,0x0025BD90
_ZN28CounterLayoutControllerPatch4initEv,0x0026A7D0,0x0026B6A0,0x0026B3C0,0x0026C1F0
_ZN10ChipHolderC1EPKcl,0x0033EAB8,0x00341088,0x00340E68,0x00341E28
_ZN10ChipHolderC2EPKcl,0x0033EAB8,0x00341088,0x00340E68,0x00341E28
_ZN10ChipHolder4initERK12JMapInfoIter,0x0033EAF4,0x003410C4,0x00340EA4,0x00341E64
_ZN2MR16createChipHolderEl,0x0033EBA0,0x00341170,0x00340F50,0x00341F10
_ZN2MR17registerChipGroupElP9ChipGroup,0x0033EBC0,0x00341190,0x00340F70,0x00341F30
_ZN10ChipHolderD1Ev,0x0033EFC4,0x00341594,0x00341374,0x00342334
_ZN11ChipCounterC1EPKcl,0x0033EFE8,0x003415B8,0x00341398,0x00342358
_ZN11ChipCounterC2EPKcl,0x0033EFE8,0x003415B8,0x00341398,0x00342358
_ZN11ChipCounter4initERK12JMapInfoIter,0x0033F034,0x00341604,0x003413E4,0x003423A4
_ZN11ChipCounter7controlEv,0x0033F1D0,0x003417A0,0x00341580,0x00342540
_ZN11ChipCounterD1Ev,0x0033F864,0x00341E34,0x00341C14,0x00342BD4
_ZN9ChipGroup4initERK12JMapInfoIter,0x00344044,0x00346614,0x003463F4,0x003473B4
